"genotype","earHeight.mu","flagLeafHeight.mu","combineMoisture.mu","combineTestWeight.mu","earFillLength.mu","earWidth.mu","shelledCobWidth.mu","shelledCobMass.mu","earLength.mu","kernelsPerEar.mu","percentStarch.mu","percentProtein.mu","percentOil.mu","percentFiber.mu","percentAsh.mu","yieldPerAcre.mu","GDDToAnthesis.mu","GDDToSilk.mu","kernelsPerRow.mu","kernelRowNumber.mu","moistureCorrectedKernelMassPerEar.mu","moistureCorrectedHundredKernelMass.mu","anthesisSilkingIntervalGDD.mu","daysToAnthesis.mu","daysToSilk.mu","anthesisSilkingInterval.mu","earHeight.max","flagLeafHeight.max","combineMoisture.max","combineTestWeight.max","earFillLength.max","earWidth.max","shelledCobWidth.max","shelledCobMass.max","earLength.max","kernelsPerEar.max","percentStarch.max","percentProtein.max","percentOil.max","percentFiber.max","percentAsh.max","yieldPerAcre.max","GDDToAnthesis.max","GDDToSilk.max","kernelsPerRow.max","kernelRowNumber.max","moistureCorrectedKernelMassPerEar.max","moistureCorrectedHundredKernelMass.max","anthesisSilkingIntervalGDD.max","daysToAnthesis.max","daysToSilk.max","anthesisSilkingInterval.max","earHeight.min","flagLeafHeight.min","combineMoisture.min","combineTestWeight.min","earFillLength.min","earWidth.min","shelledCobWidth.min","shelledCobMass.min","earLength.min","kernelsPerEar.min","percentStarch.min","percentProtein.min","percentOil.min","percentFiber.min","percentAsh.min","yieldPerAcre.min","GDDToAnthesis.min","GDDToSilk.min","kernelsPerRow.min","kernelRowNumber.min","moistureCorrectedKernelMassPerEar.min","moistureCorrectedHundredKernelMass.min","anthesisSilkingIntervalGDD.min","daysToAnthesis.min","daysToSilk.min","anthesisSilkingInterval.min","earHeight.pl","flagLeafHeight.pl","combineMoisture.pl","combineTestWeight.pl","earFillLength.pl","earWidth.pl","shelledCobWidth.pl","shelledCobMass.pl","earLength.pl","kernelsPerEar.pl","percentStarch.pl","percentProtein.pl","percentOil.pl","percentFiber.pl","percentAsh.pl","yieldPerAcre.pl","GDDToAnthesis.pl","GDDToSilk.pl","kernelsPerRow.pl","kernelRowNumber.pl","moistureCorrectedKernelMassPerEar.pl","moistureCorrectedHundredKernelMass.pl","anthesisSilkingIntervalGDD.pl","daysToAnthesis.pl","daysToSilk.pl","anthesisSilkingInterval.pl"
"2369 X 3IIH6",106.166285119071,233.658026764996,13.3428293145411,59.2321407234544,14.8520012578249,4.1918245478714,2.58048730995291,18.685545637191,16.5245974674319,502.212920593587,69.7606986045408,9.14226861806127,3.93595660708692,1.27136902209252,1.2156445220423,140.091830313183,1367.748568051,1380.23767208804,33.9315818551468,16.1326498123713,135.659190614902,26.7915013632942,11.4850906023416,66.9464642832193,67.4854138976223,0.500652701439128,138.361737516591,302.334575920317,18.141775662899,63.280538474185,17.0558066610594,4.59036933196984,2.96171711788834,25.3787972587799,18.1,641,72.3315668997759,11.88,4.30542287033816,1.75150434360907,1.438164707377,217.440514342345,1528.02855488346,1623.05754305453,41.0374185029649,17.1378744543639,173.386893250508,33.901469243087,116.226487340786,79.9196329533426,83.965015501959,5.40161031998258,60.5202691151693,147.137976141037,9.82850983000754,54.8163309269519,12.2785624473157,3.52907884066769,2.28378192550101,12.8771717119225,13.9754262485206,366.033154373825,65.3738027538753,6.86,3.60358932523057,0.44036091139186,0.883089901281391,16.275232508178,1263.04149471799,1245.8354892002,27.9270757268177,15.0678373837337,72.931901236927,17.9468911320245,-118.55,57.0079961932466,59.1673875945331,-5,1.1564904363442,2.07427516054099,-0.233850161091113,0.183678606678011,-0.0739148890231783,-0.0612769673632683,0.0328931175902224,-0.100403691186822,-0.14887797236854,3.19376603978494,0.0796794151955934,-0.0832723293798845,-0.152266376768597,0.312699601126416,0.206880422969566,2.26787286918372,1.8680617197431,2.45138204060535,-0.0419643675741488,0.167230970536178,1.31843200466843,0.0481293440464462,3.60132298901439,0.181591135872328,0.200527524727483,0.178163445815788
"2369 X LH123HT",112.332094033385,241.838059442961,15.4985414987317,58.7011531763845,14.7691749379846,4.13513773668456,2.65401287392281,21.863273520489,16.3624171240804,492.407499300678,69.7184999534322,10.0085351712818,3.8823898662781,1.20143641352704,1.04212213225807,129.482518715304,1423.01292992691,1430.16460310365,34.6804991000536,15.0475607500514,134.173614245761,27.2471161441672,8.17310931800503,69.5060673060348,70.4220921804566,0.251686092253805,158.792917341244,300.394520433608,27,63.538861435488,17.565763127185,4.69923957745931,3.03959249744163,31.5,18.8,651,72.6976882269646,14.51,4.46685666436887,1.70216532480341,1.33238515730177,211.048166266625,1525.5094410024,1593.58168883501,42.7000730942491,16.0023801649173,186.838158578601,32.6546884718745,140.013767841984,78.5775333981105,82.6469134702301,5.87160303648085,64.4960110494676,155.895980960708,8.92197003671166,53.6350782574321,11.5176239621648,3.4334490741572,2.23683674119308,12.6184321498091,13.5,329.777919819687,65.3207406818665,5.77,3.45042940864798,0.732905683993503,0.806397004624899,16.8256514354124,1336.99530020084,1288.64816121981,26.5928235289222,14.2238920089135,71.4254413825502,19.060676339286,-88.4040335632368,60.3066133540211,62.1372307650509,-4,0.964086999507455,1.8503238300551,0.567866482584092,0.321924615895727,0.206603439150616,0.00243509534530088,-0.0192068582967738,0.595509591168593,0.0632189162922537,3.48940537197233,0.167811866018689,0.442058370664904,-0.0933847403241638,-0.0918928410504971,0.0109937022660184,2.47719799339981,2.45873151241521,3.58701510879578,0.315081852068342,-0.112650425985996,1.51101463377726,0.237161016827571,3.21412239170944,0.206257980903842,0.288422766705615,0.12822404459766
"2369 X PHN82",102.218674248804,229.329330276066,14.7320899901996,59.1845715993373,14.4733565108362,4.15746628884611,2.66988080850457,19.9480703241302,16.147635907288,498.317522560167,70.3706718819569,8.64682860428334,3.99767203916726,0.830865586693231,1.04160583150858,137.45445024355,1390.0150214858,1397.57671385551,34.1773259651825,15.7754469693454,136.975405385238,27.1767527273401,4.72318430944777,67.9157263313886,68.2058188398551,0.179295231616643,138.020900377243,297.74421050042,23.1,62.648850908693,16.2407512974141,4.74598274943496,3.26414470984592,27.3,17.6452855420048,615,72.6144610390129,10.74,4.57829365406287,1.69830556022087,1.35420219883665,214.469191221155,1478.01031280965,1537.61247906643,40.2404040450621,17.072482931848,178.272733533691,31.8842232372817,105.629293109023,76.1879796960162,80.3353365890039,4.86389419069962,69.867029843687,159.833646103682,10.7385505772971,55.2659689197201,11.7891016582391,3.44269503750535,2.18573354798591,13.6323288101564,12.2,347.182953748046,67.9076894473536,6.33,3.67920733464868,0.402031369741004,0.777434799194546,20.518391121188,1301.45404649185,1287.5412451155,27.7377322366345,14.699631633182,79.2819965978306,18.857363092873,-181.5,57.7795745568271,61.2540521462068,-8,0.900526866775941,1.83095059396694,0.224596365687005,-0.0359152233787929,-0.0880286076553322,0.0226214297030707,0.122492909788394,0.16796622403257,0.0215516027635966,2.88717000809965,-0.100412715217502,-0.098994415049907,-0.0394143808039832,-0.117646641245319,0.00218841167323668,1.89784570108984,2.34866397045163,2.77092248487554,-0.0977818152390151,-0.164991817196417,1.26541630620369,0.050561940763056,3.95659066911572,0.252988512516578,0.221304012315398,0.275779289949348
"2369 X PHP02",105.696402819124,229.6701696007,13.8656193443396,59.1628425600995,14.8349818521992,4.16977996589228,2.63570406781537,19.6096039185589,16.4500250420432,470.274527358976,69.2707409229688,9.80139974407573,3.89415781789734,1.18025579742601,1.1307775628737,134.146468314139,1359.04409512194,1369.91295802993,33.5676350128877,15.2748715335599,134.772384782087,28.0556119213393,10.5091014393777,66.5620329111082,67.0610432081417,0.474453557056708,143.480775830417,297.750982339399,21.2,62.6436307721261,17.1707624482988,4.66875807948394,3.32956365034719,26.6655380409062,18.4,608,71.7536524091735,13.7,4.34604892241628,1.56391007430979,1.35919213440655,209.955710659032,1443.45814693421,1502.94760353874,40.8455829166565,16.415113456125,181.160353733333,35.1542814492994,118.55,74.8776359508771,78.7920475427884,5.52360809972627,51.8250575930604,155.784423981419,5.3,55.3271110723232,12.5910641685988,3.21502482520031,2.17601163706969,12.2106827953892,14.3382217478688,297.29454001802,66.3565780705721,7.02,3.36804243889158,0.697851869609603,0.833222095419624,21.5049883301198,1299.77221803356,1275.08107483693,27.3113939573639,13.9926362098843,62.2457988521236,17.8773387224682,-136.4,57.2300396904123,59.2212016497764,-6,0.861415568319118,1.78729191362839,0.0928974535027107,0.109364993537565,0.0921025954436211,0.0483109813906546,0.323838656593405,0.33059344449072,0.104920325586269,3.23241637283192,0.0483791179218659,0.0499551825176557,-0.0918193532735322,-0.0778830600177335,0.00465118806615689,2.20782655840656,1.90304359103897,1.80273353953013,0.147335257256005,0.271840011208467,1.4742591002479,0.168350109271759,3.2206479164445,0.143671527301947,0.161755432448797,0.114905187902437
"2369 X PHZ51",114.679229744298,246.146488920559,14.0499395261306,59.530513692727,14.6713074492279,4.01694479617605,2.59998557198987,21.4623598673594,16.6095725718899,470.221280849903,69.7933352708697,9.61758904675492,3.92427678370306,1.02451548969044,1.08683339005993,126.416684766592,1406.41810389873,1415.73091863328,33.6108427821803,14.9017341963901,133.573188437247,27.8504721283701,5.62610165135945,68.6722093731495,68.9853538208075,0.198885760752274,148.997210738218,301.541725723828,23.2,62.5537146715631,17.0223023923144,4.56468212527381,3.14970744913701,30.9,19,591,72.1828930251927,11.88,4.42386111449678,1.53294084787804,1.32672764770529,201.313681219766,1572.89241705465,1667.63254322618,41.2725346346895,16.0726877309138,177.856126804966,33.1482332772553,122.416900640234,81.79198520802,85.8944542785506,4.71168254376395,71.845241156483,166.239880889712,6.4,54.8520308069674,11.6034304838189,3.19403613734159,2.27537350887564,12.4197755524491,13.662898413759,285.711051191912,66.4074258893403,5.96,3.44848859763388,0.597407994950115,0.893571938445434,24.8233877923585,1326.33242484914,1257.73685016172,24.0397227076502,13.6967709534585,58.4782562268025,19.8507653728406,-142.65,58.2323698090778,60.3136890769485,-6,0.985875947257517,1.78544895365614,0.322678472166678,-0.0795243372301715,-0.135761891971434,0.0115247914592195,0.0329176093388859,0.422226970501109,-0.0158221067319101,2.71275096993464,-0.0513206401625384,0.142723347500302,-0.0996553708438652,-0.201681331440025,-0.0680083536389873,1.7948190503045,2.74189390444671,4.28409251118207,0.0186184036640654,0.15007597943648,1.29045578352136,0.048695158268855,3.71922251152378,0.502047385082086,0.494946085365569,0.19055897993573
"2FACC X 3IIH6",99.6299589409753,223.314081685566,12.9256006216808,59.2740757982181,14.4482557641632,4.20902448576352,2.65074651032011,19.6903792164969,15.9524381026941,462.52559098304,69.397953406333,9.45702793383731,3.8880590978363,1.31806479538859,1.20289949292144,140.229058055673,1321.69438190311,1327.45966161107,31.7788140622997,15.9850980604029,131.314576691482,27.8385258849313,9.95588913905139,65.0366370777038,65.261644362575,0.420221021699283,131.813526904307,291.393703455307,16.2492833409146,63.4077441599452,17.8871880755166,4.62199255182861,3.00055143256925,26.0707035196995,17.972819515759,565.804258969908,71.9135897474233,15.38,4.36218675933032,2.06089528664259,1.48985083646235,207.532826372586,1421.11879817663,1446.61528354996,39.0332856246898,17.1736628860297,181.779374825047,35.1170194068123,126.066518175969,73.7700382313835,76.5071814375797,4.983971136162,56.5149011710947,159.592284438179,7.9,54.3248418724597,11.5053903802655,3.33791651899928,2.41379128453151,12.915265159647,11.4,284,64.2958184905079,7.09,3.50081610056069,0.722109116418308,0.921339445773974,19.2169305274046,1242.40501369028,1216.75145476353,25.59876912776,15.1713572596706,65.6103065485564,16.7605444626703,-83.0935514512449,55.1701651162541,55.5018360307026,-3.62883124102752,0.762905034611723,1.73125941127086,-0.3329529716224,0.162099088737526,-0.0174856551791439,-0.0348273254560328,-0.134520491318432,0.0832012309375445,-0.113712795970349,2.21388608832584,0.408761577090382,0.237648170026595,0.0500661254300248,0.3135239868324,0.173037738576566,2.25126383495942,2.20885820099653,1.97185889867584,0.133545163788388,0.0480175951903913,1.3127785098629,0.269102628273733,2.39819145394687,0.172745015325283,0.178265383546424,-0.0910962270155491
"4N506 X 3IIH6",113.197912093861,241.861915577295,13.357983852293,59.2069965877314,14.5223845448911,4.19966370385239,2.60654318837642,19.9359864619518,16.6678327277554,473.66312509431,69.0800280618346,9.1990488654352,4.12416841791861,1.19257657987502,1.18754480486492,136.068751906962,1374.50157513815,1389.69103629257,32.3198958648059,15.5889513027768,136.350833709634,28.2183297704489,15.2824343206023,67.2479728548625,67.8595448016229,0.629778408274185,153.529249203251,308.492881563095,19.8,63.5928038571612,16.5804445385401,4.69362870142938,2.97562011530545,25.5085636085425,18.8,568.539711619542,72.1304411376182,13.9,4.59825310566125,1.83263795309101,1.42911620012716,205.137426864203,1466.84693150504,1518.92014854188,38.9178204291595,16.5146489424837,175.254394013559,33.092615766608,139.259501456626,75.3906167837475,79.4936762952796,5.41912029830172,64.1417641372839,152.716352560816,9.20177970735075,54.0689969412817,10.4622286440972,2.96972252734182,2.19251331998301,9.96725249475545,13.4604917973408,283.614053189386,66.132203834265,6,3.43006607460243,0.5395624100112,0.939330394278213,13.898920132657,1298.46810893698,1268.88346096159,25.5697971823933,14.3184670418288,48.1881888804142,15.1839062967254,-99.56,58.1282146111388,59.4557008336137,-4,1.12380053478742,2.0411088750006,-0.117678238275924,0.234016303359707,0.00740451647391527,0.0397216980423036,-0.161901332893709,0.0630228364853399,0.0169070719087564,2.4373633962625,0.0851031702611546,0.153731307219889,-0.30235100560867,0.167909417481668,0.10935257444229,2.143434868377,1.80392888639811,3.03125778846585,-0.0471324052529189,-0.0159686776616469,1.2756390744906,0.252350727371775,3.40701476907741,0.155799426196928,0.200342501627256,0.132810091104264
"B105 X 3IIH6",101.038938640519,230.225004495262,14.0278826231254,58.8254615941309,14.6046356002971,4.14154815591086,2.65359300015863,17.9461522536112,16.9036125221907,472.937815154909,69.4405320945433,9.31444793079016,4.00846540040482,1.11812813463625,1.15833483025004,128.025775568937,1370.59944864816,1383.60993818031,32.4198164846612,15.9223626708506,127.861117078816,26.3504542353421,13.0012256820857,67.0741604444708,67.5933191566414,0.53165414060589,131.21209894023,294.469321446457,26.3,62.7669969496104,16.5962481114289,4.74945758569687,3.28306958872716,28.3,20.9,576,72.7248445850083,13.07,4.49622344194012,1.55376367045412,1.34004896685523,204.581519166694,1461.78890703542,1523.33477847865,37.5358387735666,16.7081282604342,178.326001441125,31.455610662548,122.600316842035,76.1547847827221,79.6174585923726,5.11957683620219,58.7420634970622,156.500414432121,5.3,52.5928678001429,11.7046039165543,3.5296276859428,2.25354954784705,11.2943213111949,14.0514640188917,338.106516061045,67.3238145327646,6.85,3.4169043807101,0.555044723912435,0.899234133384537,20.3126574623152,1289.13643630366,1269.3223419549,25.5191992165086,14.1176767364058,72.4267214326371,17.9705111982009,-117.65,56.8299016820656,60.0518121066308,-5,0.773549919233045,1.80451774942781,0.22028503901833,0.395483230645467,-0.0138860803571622,-0.100287372111254,0.0035680336105502,-0.145390851470524,-0.115713178156905,1.93260013987404,0.0227178693136512,-0.0398714136956197,0.042262805607812,0.0786007783830143,0.0277650988829136,2.0138405297134,2.19706556410675,2.55527641701309,0.0630908383888094,-0.3165434691176,1.05868986735484,0.0681148468360854,3.74375446709316,0.186354257108743,0.116037359910977,0.207027154871528
"B14A X MO17",111.707460599735,234.166954474732,15.8659901204893,58.0899129799188,14.7730066133967,4.04207767882886,2.52286273633233,19.6647667640368,16.4572602873591,476.840913975685,69.8786019279311,9.11468156884422,3.90353638651873,1.43507821436212,1.16593658248362,134.443856149124,1412.77873076811,1428.30958393738,34.8227941594794,14.6803985474683,133.683156267167,27.6783703160174,21.7163613770754,68.9370532504048,69.517830289108,0.850925063459175,146.690730011189,297.734338620006,25.3,62.4971009829183,17.2892412243869,4.57688386216909,2.9376656860339,26.2,19.1,602,71.879076034468,11.9,4.24534353658451,2.04664863527616,1.38068526138344,208.814205285379,1511.43441221238,1589.15078432884,41.6908904750014,16.4235252599098,188.024556667846,33.5689454387932,160.6,78.0500228712979,82.5185192205597,7,71.5093312459136,159.372403752326,11.3114562846564,50.7532741217161,11.5660996657806,3.39043300976033,2.10189625068027,11.0473390339284,13.1307761760706,292.638557786239,66.7450735643963,6.41,3.32461328189623,0.902124990779662,0.870723615563773,24.4563258016644,1302.58555721046,1301.75253744577,27.1339867381102,13.2538826200121,64.0575686732892,18.952468853073,-111.486089693679,59.0144303994179,61.4639958166324,-4.95799452476621,1.04646099045718,1.81126260856399,0.512607484425067,0.595545163349066,0.071884111117061,-0.00425822015224721,-0.112550990784671,0.35913235183744,-0.0397951039314404,2.73264373522068,-0.243971473485924,0.0785540569378448,-0.0551183972479531,0.177408150117507,0.0187082696043033,2.05302435577965,2.09393685572444,3.02856906226128,0.114209604019063,-0.00848049089309172,1.38432167721796,0.210835510326842,2.97274334020062,0.308504883636918,0.259596169872699,0.037085576241079
"B37 X H95",110.63973905053,240.958554615239,14.07256830705,58.8687773256786,13.5968160860771,4.04103743774035,2.609232223682,19.5539500294659,15.080426091897,464.427562610668,69.1908599694433,10.2023843781583,4.09629553548837,1.14903787116057,1.05358769187437,109.37445478645,1431.30712762679,1443.80056981695,31.5227806447233,16.1173235709894,122.433351209656,25.838747645773,9.24402895654186,69.7458275532332,70.2166092885161,0.303502208886107,141.509586285996,303.227613481135,26.2,63.4243399675204,15.7372778150303,4.76755094336761,2.94027109399578,32.8,17.017869333148,722,71.5871298034676,12.62,4.58736099489966,1.62440947144424,1.2386286932325,176.543312106725,1526.62950808882,1604.18453321332,38.6122931044498,17.2301080900008,173.366199292442,33.3825796708397,134.790392760762,78.8309346207,83.1463977668119,5.74771555298652,69.7889464651747,157.914325103829,5.3,54.1454552668139,10.0520923519003,3.11727130603866,2.02977542611596,10.04531016309,12.0339484428141,299.893250410749,67.0166315476237,7.18,3.59905360118995,0.748117685241703,0.830047790420406,13.6076083240307,1349.18408182102,1314.30943075685,24.0930454648856,13.9364578747527,59.9409872391115,18.7124806055945,-146.6,59.14743183846,60.1904287536704,-7,0.928571375758156,1.80355979443053,0.429764799604218,0.245389332344842,0.0544038242988113,0.140255727645858,-0.0124183479397861,0.847368151122914,0.172878260389907,4.46051217053711,-0.0211591227909712,0.18225186570969,0.0482658421829519,-0.12197662893269,-0.140926864930094,1.64880336128108,2.42480920319977,3.69462453503062,0.131466904394536,0.354272102903564,1.35727030749565,0.0620863497484102,4.09338799827751,0.328451177660948,0.287966767759261,0.3579746740901
